FID,OID_,Name,Official_N,X,Y,Address,Postal_Cod,Country,Un_Visited,Date_Visit,HDB,United_Tem
103,104,Nan Feng Shan Tang,Nam Hong Siang Theon,103.8326024,1.4350485,561 Yishun Ring Road,768682,Singapore,Visited, , ,United Temple
104,105,San Ba Wang Cheng Bang Lianhemiao, ,103.8329136,1.4350511,561 Yishun Ring Road,768682,Singapore, , , ,United Temple
105,106,Zhen Kong Jiao Fu Ben Tang,Zhen Kong Jiao Fu Ben Tang (Chin Kong Religion Fook Poon Tong),103.8327312,1.4352147,"561 Yishun Ring Road , #01-05",768682,Singapore,Visited, , , 
106,107,Zhong Bang Lian He Gong,Chong Pang Combined Temple,103.8324602,1.4348903,561 Yishun Ring Road,768682,Singapore, , , ,United Temple
107,108,Dong Shan Miao,Dong Shan Miao,103.8328631,1.4226212,"358, Yishun Avenue 3",769058,Singapore,Visited, , ,United Temple
108,109,Chang Xiu Guang,Chang Xiu Guang ( Teong Siew Kuan Temple) / Teong Siew Wei Ling Dong Shan Temple,103.8330523,1.4224847,"362, Yishun Avenue 3",769060,Singapore,Visited, , ,United Temple
109,110,Chang Xiu Wei Ling Dong Shan Lianhemiao, ,103.8332427,1.4226268,"362, Yishun Avenue 3",769060,Singapore, , , ,United Temple
110,111,Hua Shan Gong,Hua Shan Gong,103.8338251,1.4349198,569 Yishun Ring Road,768691,Singapore,Visited, , ,United Temple
111,112,Ju Shan Hua Shan Gong, ,103.8335247,1.4350646,569 Yishun Ring Road,768691,Singapore, , , ,United Temple
112,113,Ju Shan Tang,Ju Shan Tang ( Chu Siang Tong),103.83375,1.4351102,569 Yishun Ring Road,768691,Singapore, , , ,United Temple
113,114,Heng Shan Miao,Hwee San Temple,103.8355183,1.4436185,527 Yishun Industrial Park A,768771,Singapore,Visited, , ,United Temple
114,115,Ci Ling Lianhemiao,Chee Leng Lian He Miao,103.8356858,1.4433655,525 Yishun Industrial Park A,768769,Singapore,Visited, , ,United Temple
115,116,Ci Yun Shan Gong,Chee Hoon Sun Kong,103.8358467,1.4437891,525 Yishun Industrial Park A,768769,Singapore, , , ,United Temple
116,117,Zhao Lin Miao,Cheow Leng Beo (Xin Hua Temple),103.836013,1.4435156,525 Yishun Industrial Park A,768769,Singapore, , , ,United Temple
117,118,Fu Fa Gong,Hock Huat Keng Temple,103.8358268,1.4432049,523 Yishun Industrial Park A,768770,Singapore,Visited, , ,United Temple
118,119,Zhao Yun Dian,Tiow Hoon Tien,103.8361326,1.4433631,523 Yishun Industrial Park A,768770,Singapore,Visited, , ,United Temple
119,120,Gao Lin Gong,Kong Lim Kong Temple,103.8387071,1.3663868,791 Ang Mo Kio Ave 1,569974,Singapore,Visited, , ,United Temple
120,121,Gao Lin Gong (Hong Mao Qiao),Kong Lim Kong,103.8387366,1.3661696,791 Ang Mo Kio Avenue 1,569974,Singapore, , , ,United Temple
121,122,Hong Mao Qiao Lianhemiao, ,103.8388519,1.3662473,791 Ang Mo Kio Avenue 1,569974,Singapore, , , ,United Temple
122,123,Jin Ying Tang,Jin Ying Tang,103.83864,1.3662044,791 Ang Mo Kio Ave 1,569974,Singapore, , , ,United Temple
123,124,Long Shan Yan Dou Mu Gong,Leng San Giam Dou Mu Gong,103.8388144,1.3661535,791 Ang Mo Kio Ave 1,569974,Singapore, , , ,United Temple
