"nanyangSiteId","siteNameZh","siteNameEn","Y","X"
"sct-kd-027","碧山善世壇","Bi Shan Shanshi Tan",1.4353213863,103.8013989
"sct-kd-028","碧山廟","Bishan Temple",1.3455067124,103.844077
"sct-kd-029","碧山亭福德祠","Peck San Theng Fu De Ci",1.3455067124,103.844077
"sct-kd-030","波東巴西聯合廟","Potong Pasir Joint Temples",1.3668554802,103.8619248
"sct-kd-031","蔡厝港齊天宮","Caicuogang Qitiangong",1.3631263368,103.7474185
"sct-kd-032","蔡厝港關帝廟",,1.3915072948,103.7427464
"sct-kd-033","蔡厝港聯合殿","Choa Chu Kang Lian He Temple.",1.3915072948,103.7427464
"sct-kd-034","蔡厝港聯聖宮","Chua Chu Kang Lian Sing Keng",1.3810533343,103.7536302
"sct-kd-035","蔡厝港油池村聯合廟","Choa Chu Kang Yew Tee Chun Lian He Miow",1.3917351313,103.7426251
"sct-kd-036","菜市聯合宮","Chai Chee United Temple",1.3284902515,103.919116
"sct-kd-037","禪定佛學會","Samadhi Buddhist Society",1.3107895465,103.9024536
"sct-kd-038","禪之園","Chan Zhi Yuan",1.3547110193,103.8402849
"sct-kd-039","禪宗寺","Chanzong Si",1.3111445457,103.8815529
"sct-kd-040","長天宮","Chang Tien Kong Temple",1.3655899424,103.8955581
"sct-kd-041","長秀館","Teong Siew Kuan",1.4224978836,103.8330654
"sct-kd-042","長秀威靈東山聯合廟","Teong Siew Wei Ling Dong Shan Temple",1.4224978836,103.8330654
"sct-kd-043","朝云殿","Tiow Hoon Tien",1.4433359824,103.835984
"sct-kd-044","朝雲宮","Chaoyun Gong",1.358913209,103.8927039
"sct-kd-045","陳佐勉堂","Chan Chor Min Tong Temple",1.3263478616,103.8499034
"sct-kd-046","成邦大伯公宮","Seng Pang Tua Pek Kong Keng",1.4337957971,103.8280431
"sct-kd-047",,"Cheng Teck Sian See Temple",1.3129085113,103.8815105
"sct-kd-048","城鳳聯合廟","Cheng Feng Lianhemiao",1.326332481,103.8917968
"sct-kd-049","城隍廟萬壽寺","Sheng Hong Temple Wan Shou Si",1.3209452079,103.7506633
"sct-kd-050","城隍廟楊桃園","Sheng Hong Temple",1.3209452079,103.7506633
"sct-kd-051","敕封川弓殿","Chifeng Chuan'gong Dian",1.2811973702,103.8434373
"sct-kd-052","敕封觀靈壇","Chifeng Guanling Tan",1.3595208734,103.88834
"sct-kd-053","慈忠壇","Chee Tong Temple",1.3589808079,103.8924154
"sct-kd-054","崇德善堂","Chongde Shantang",1.3312407966,103.9080091
"sct-kd-055","崇峰善堂","Chung Hong Siang Tng",1.2756857448,103.7942666
"sct-kd-056","崇福堂","ChongfuTang",1.3461686796,103.8708023
"sct-kd-057","崇文閣","Chongwen Ge",1.280841521,103.8474329
"sct-kd-058","重興祖廟","Tioh Hin Cho Temple",1.3160602194,103.9050622
"sct-kd-059","崇義廟  萬興山","Chong Ghee Temple",1.3891390825,103.9070585
"sct-kd-060","創價協會中心  芽龍","Singapore Soka Centre Geylang",1.3106915789,103.880998
"sct-kd-061","創價學會 直落布蘭雅","Telok Blangah Soka Centre",1.2706710328,103.8125205
"sct-kd-062","創價學會 裕廊西","Soka Culture Centre Jurong West",1.3478374216,103.7040948
"sct-kd-063","創價學會 巴西班讓","Soka Youth Centre (SSA)Pasir Panjang",1.2770304103,103.7909297
"sct-kd-064","創價學會  淡濱尼","Tampines Soka Centre",1.3444085233,103.9430593
"sct-kd-065","慈悲精舍","Ci Bei Jing She Buddhist Vihara",1.3093269662,103.8763855
"sct-kd-066","慈恩閣  大樹下","Ci Ern Ge",1.3339003405,103.8488548
"sct-kd-067","賜福宮大伯公聯誼會","Sze Hock Keng Tua Peh Kong Association",1.3280146586,103.8910723
"sct-kd-068","慈觀壇","Ciguan Tan",1.3264102651,103.8595552
"sct-kd-069","慈航念佛社","HE BUDDHA VOYAGE SOCIETY",1.3361677317,103.7684333
"sct-kd-070","慈濟宮圣果園","Cijigong Shengguoyuan",1.2985391627,103.851856
"sct-kd-071","慈蓮堂","Cher Lian Tong Buddhist Temple",1.378182252,103.7737066
"sct-kd-072","慈靈宮","Ciling Gong",1.3558216025,103.9498665
