X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8499457,1.291898257,1364,CHEANG SENG & SONS CO.,和發洋服公司,Coleman Street,5,Tailoring,NA,NA,1908,NA,Cheang Tuck Foon,鄭德欠,,,101,
103.84994,1.291907974,10810,SIN FAH SHOE MAKER,新華鞋廠,Coleman Street,5,Shoe Making,NA,NA,1945,NA,Khoo Pak Hin,古柏興,,,843,
103.8498946,1.291925789,1778,CHIN CHIN,根根號,Coleman Street,6,Shoe Makers,NA,NA,1937,NA,Chan Hin Kong,陳顯光,,,130,
103.8498922,1.291925789,14094,CHOP YEE KONG,義光號,Coleman Street,6,Tailoring,NA,NA,1946,NA,Them Chong Yee,譚宗義,,,1115,
103.8498436,1.291963039,9714,THE POLLY SHOE CO.,同利公司,Coleman Street,7,Shoe-Making,NA,NA,1946,NA,Heng Choon Keong,王俊恭,,,745,
103.8498436,1.2919598,14247,YIP YEW,巧新號,Coleman Street,7,Tailoring,NA,NA,1931,NA,Yip Yew,葉堯,,,1126,
103.8498047,1.291975996,7531,LONG KEE BOOK CO.,隆記製簿公司,Coleman Street,13,Book-Binding,83211,NA,1946,NA,Liew Long Kiam,劉隆乾,,,568,
103.8497513,1.29199705,3144,FOOK WAH PRESS,福華印刷製簿所,Coleman Street,21,"Printing, Book-Binding and Stationery Suppliers",80188,NA,1931,NA,Ho Seok Yuen,何淑源,,,226,
103.8497351,1.292007577,13137,TONG QUAY,棟記,Coleman Street,22,Tailoring,80757,NA,1922,NA,Boey Choi Peng,梅翠屏,,,1031,
103.8497948,1.29233316,3102,FOO KWONG JOO,符廣裕,Coleman Street,23,"Aerated Water, Toilet Requisites Dealers",7292,NA,1915,NA,Foo Hee Aun,符氣安,,,224,
103.8497996,1.292328266,9712,POLAR & CO.,玻拿洗染公司,Coleman Street,23-1,Dry-Cleaning and Dyeing,7191,NA,1944,NA,Chan Meng Cheong,陳銘章,,,745,
103.8498215,1.29231288,3756,HANG FONG YUEN,恆芳園,Coleman Street,23-2,Coffee Shop,NA,NA,1939,NA,Ho Tak Yeok,何達育,,,278,
103.8498677,1.292291016,4729,CHOP HUNG CHEONG,恆昌號,Coleman Street,23-4,"Frame Makers, Glass Merchants and General Contractor",NA,NA,1945,NA,Kam Cheok Wai,甘灼威,,,348,
103.8498661,1.292295874,4742,CHOP HUNG SUN,恆新號,Coleman Street,23-4,Frame Makers,NA,NA,1931,NA,Kum Yuen Kwai,,,,349,
103.8499017,1.29227482,12045,TAI HENG CO.,泰興公司,Coleman Street,23-5,Tailoring,3390,NA,1940,NA,Yuen Wai Thong,袁偉棠,,,946,
103.8499309,1.292261864,9238,OLD SCHOOL TIE TAILORING CO.,如記公司,Coleman Street,23-6,Tailoring,,,1947,NA,Fong Keng Yee,馮景如,,,708,
103.8499511,1.292244858,2143,CHOSEN TAILORING CO.,昭信洋服公司,Coleman Street,23-7,Tailoring,7885,NA,1947,NA,Chow Weng Kee,周永基,,,152,
103.8499463,1.292252956,10717,CHOP SIM HOCK HENG,沈復興,Coleman Street,23-7,Shoe Store,NA,NA,1937,NA,Sim Lik Kwang,沈立關,,,836,
103.84999,1.292221374,8563,MUSLIM EATING SHOP,馬士林餐室,Coleman Street,23-8,Eating House,NA,NA,1937,NA,Kavanna Vavanna Sinnathamby S/O Vappoo Rowther,,,,651,
103.8500119,1.292209228,2694,EASTERN TAILORING CO.,東方洋服洗染公司,Coleman Street,23-9,Dry Cleaning,NA,NA,1947,NA,Pok Kee Chong,蔔其昌,,,195,
103.8500426,1.292190603,1946,CHINA TRADERS,中國商行,Coleman Street,23-10,"Importers, Exporters, General Merchants and Manufacturers' Agents",NA,NA,1946,NA,Kok Yoke Chun,郭玉貞,,,140,
103.8500386,1.292190603,13054,TONG GUAN,東源號,Coleman Street,23-10,Tailoring,3512,NA,1947,NA,Chiang Chong Hin,,,,1025,
103.8501784,1.292117854,12793,THUNG CHYE,福昌洋服,Coleman Street,23-11,Tailoring,NA,NA,1934,NA,Wong Pui Ching,王佩清,,,1004,
103.8502457,1.292079794,133,P. S. ABDUL WAHAB,亞都哇合,Coleman Street,25,Catering,NA,NA,1934,NA,Pana Sena,,,,18,
103.850244,1.292084653,8391,P. S. MOHAMED SULTAN,摩哈默蘇丹,Coleman Street,25,Eating House,NA,NA,1934,NA,Pana Sena Mohamed Sultan,,,,638,
103.8502732,1.292072506,11732,S. SUED AHAMED & CO.,雪哈馬公司,Coleman Street,26,"Woollen, Cotton Piece Goods and General Merchants",NA,NA,1948,NA,Seena Syed Ahamed S/O Haji Sickander,,,,919,
103.8503064,1.29205874,5519,KENG HING TAILORING,景興洋服公司,Coleman Street,27,Tailoring,NA,NA,1948,NA,Jek Keng Cheng,易景清,,,416,
103.8503032,1.292052261,7719,N. M. MAINAMUSAH & CO.,邁那木沙公司,Coleman Street,27,General Merchants,NA,NA,1942,NA,Nowana Muna Nainamusah,,,,585,
103.8503056,1.292053071,8617,N. M. NAINAMUSAH & CO.,乃那莫沙公司,Coleman Street,27,General Merchants,2504,NA,1942,NA,Nowana Muna Nainamusah S/O Mohamed Ibrahim,,,,659,
103.8502999,1.29205874,13217,TRIPLE & CO.,德巴公司,Coleman Street,27,Commission Agents,NA,NA,1942,NA,Nowana Muna Nainamusah S/O Mohamed Ibrahim,,,,1037,
103.8503315,1.292042544,9455,PARIS & CO.,巴黎公司,Coleman Street,28,Dry Cleaning,NA,NA,1936,NA,Loh Hong Kit,,,,726,
103.8503485,1.292034446,14496,ZAT FEE,諾輝號,Coleman Street,29,Tailoring,NA,NA,1945,NA,Hou Sing,侯晉,,,1145,
103.8503591,1.292027158,5186,JONG MENG SUNG,永芳昌,Coleman Street,30,Eating House,NA,NA,1932,NA,Foo Wah Hian,符和權,,,386,
103.8503712,1.292022299,11109,SIN TONG WAH,新中華,Coleman Street,31,Eating House,NA,NA,1938,NA,Tan Tai Jen,,,,866,
103.8503874,1.292012582,1243,CENTRAL PRINTERS,成泰號,Coleman Street,32,Printing,2440,NA,1914,NA,Yee Cheok Wah,余焯華,,,94,
103.8507307,1.2919457,525,ASIA DRY CLEANERS,亞細亞洗染公司,Coleman Street,33,Dry Cleaning and Dyeing,80688,NA,1939,NA,Hung Cheong Kway,項張奎,,,44,
103.8507575,1.291929504,8086,MIEN CHONG TAILOR,民眾洋服,Coleman Street,34,Tailoring,4816,NA,1920,NA,Sum Yue Chew,峇譽照,,,615,
103.8508044,1.29190602,578,AU LOONG,歐龍號,Coleman Street,35,Tailor and Outfitters,NA,NA,1940,NA,Ow Kim Cheon,歐劍泉,,,48,
103.8508417,1.291884156,2522,DAH LOK DRY CLEANERS,大陸洗染店,Coleman Street,36,Dry Cleaning,3684,NA,1942,NA,Shih Ban Yik,許萬益,,,182,
103.8508449,1.291885776,11091,SIN TAT TRADING CO.,新達貿易公司,Coleman Street,36,"Importers, Exporters, General Merchants and Commission Agents",3684,“CHAYCO”,1948,NA,Richard Sim Teow Kong,沈耀光,,,864,
0,0,4904,S. M. HUSSAIN SAIBOO,福山沙蕪,"Coleman Street, Adjoining Adelphi Hotel",,Department Store,NA,NA,1946,NA,Mohamed Hussain Sahib S/O Mubarak,,,,360,
103.8512189,1.28279613,5003,THE INDIAN OVERSEAS BANK LTD.,印度海外銀行,Collyer Quay,No. 1,"Banking, etc.",2626,NA,1936,"R. S. 50,00,000",,,,Inc. in British India,368,
103.8524729,1.283062303,451,"THE ANGLO-SAXON PETROLEUM CO., (EASTERN) LTD.",英格魯沙遜煤治公司,Collyer Quay (Shell House),,"Transporting, Supplying and Selling Petroleum etc.",3811,"""ANGSAXPET""",1945,"£10,000",Local rep: Reginald Woodman Hooper,,,Inc. in England,39,
103.8512721,1.282800123,1861,"CHIN KENG LEE CO., LTD.",振慶利有限公司,Collyer Quay,2,Auctioneers and Valuers,2342,"""AUCTIONEER.""",NA,NA,"Dato S. Q. Wong, J.P",,,,135,
103.8512721,1.282800123,1968,"CHING KENG LEE CO., LTD.",莊慶利拍賣行,Collyer Quay,2,Auctioneers and Valuers,2342,“AUCTIONEER.”,NA,NA,"Dato S. Q.Wong, J. P",,,,142,
103.8513613,1.282806777,6248,KULAI SAWMILL HUP KEE,古來火鋸合記,Collyer Quay,3,Sawmillers,NA,NA,1947,NA,Bon Kok Moh,文國茂,,,469,
