NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"5843",KIEN MOU LIEN,錦茂隆,Havelock Road,"71",Tailoring,NA,NA,"1942",NA,Tiong Kai Tien,張開朝,,,"440",103.843342699999994,1.286936197000000
"8315",P. MOHAMED ISMAIL,摩哈默依士妹,Havelock Road,"73",Sundries Retailers,NA,NA,"1938",NA,P. Mohamed Ismail S/O Pakkersa Rawother,,,,"631",103.843342699999994,1.286936197000000
"341",ALIYAR RESTAURANT,阿利那餐室,Havelock Road,"75",Restaurant,NA,NA,"1940",NA,Ahna Mohamed Ali S/O Abu Bakar Sha,,,,"31",103.843342699999994,1.286936197000000
"9397",J. PACKIR MOHAMED,伯卡摩哈默,Havelock Road,"79",Sundries and Provisions Retailers,NA,NA,"1944",NA,J. Packir Mohamed S/O Jailansah,,,,"722",103.843342699999994,1.286936197000000
"8118",MING HEONG,茗香號,Havelock Road,"81",Eating House,NA,NA,"1938",NA,Goh Tai Toong,吳大棟,,,"617",103.843342699999994,1.286936197000000
"7887",MANICKAM HAIR DRESSING SALOON,馬迺金理髮室,Havelock Road,"87",Hair Dressing Saloon,NA,NA,"1948",NA,Samimathan Kalimuthu Manickam (son of Saminathan Kalimauthu),,,"(Branch at 54, Park Road)","599",103.843342699999994,1.286936197000000
"8827",NAM WAH,南華號,Havelock Road,"97",Eating House,NA,NA,"1942",NA,Ling Min Hea,林明賢,,,"675",103.843342699999994,1.286936197000000
"12274",TAN HONG ENG,陳芳榮,Havelock Road,"99",Sundries Retailers,NA,NA,"1927",NA,Ow Kim Eng,歐金英,,,"964",103.843342699999994,1.286936197000000
"5025",THE INLAND & FOREIGN TRADING CO.,內外貿易公司,Havelock Road,"103",General Merchants and Exporter of Produce,"7221",Telegrams: “IFTCO.”,"1946",NA,R. A. Ratnam,,,,"370",103.843342699999994,1.286936197000000
"5978",KIM SENG CHEONG,金成昌,Havelock Road,"103",Weighing Machines Dealers,"7221",NA,,NA,Sim Chwee Lye,沈水來,,,"449",103.843342699999994,1.286936197000000
"134",S. A. ABDUL WAHAB,亞都哇合,Havelock Road,"109",General Merchants,NA,NA,"1948",NA,Seena Ahna Abdul Wahab,,,,"18",103.843342699999994,1.286936197000000
"676",BAN GUAN,萬源號,Havelock Road,"110",Blacksmiths,NA,NA,"1927",NA,Lee Chow Seng,李椒盛,,,"55",103.843342699999994,1.286936197000000
"5902",KIM HIN CO.,金興公司,Havelock Road,"110",Hardware Manufacturing,NA,NA,"1948",NA,Chong Kiang Chew,張鏡周,,,"444",103.843342699999994,1.286936197000000
"2405",CHYE HUAT & CO.,再發公司,Havelock Road,"111",Battery and Motor Service,"7145",NA,"1937",NA,Lee Tong Hai,李東海,,,"167",103.843342699999994,1.286936197000000
"14165",YEW HUAT & CO.,友發公司,Havelock Road,111-6,Timber and Building Materials,"4184",NA,"1942",NA,Tan Sek Woo,陳式宇,,,"1120",103.843342699999994,1.286936197000000
"4394",HOCK TIONG GUAN,福長源枋廊,Havelock Road,No.111-A,Timbers Merchants,"6573",NA,"1934",NA,Tan Kay Swan,陳啓算,,,"323",103.843342699999994,1.286936197000000
"10861",SIN HIAP SENG,新協成,Havelock Road,"113",Noodles Makers,NA,NA,"1922",NA,Chua Hong Cheng,蔡宏真,,,"847",103.843342699999994,1.286936197000000
"4006",HIAP MOH,洽茂號,Havelock Road,"114",Timber Dealers,"2891",NA,"1932",NA,Tan Sin Wee,陳坤威,,,"296",103.843342699999994,1.286936197000000
"12356",TAN THONG BEE,陳通美,Havelock Road,"117",Liquor Retailers,NA,NA,"1947",NA,Tan Lian Quee,陳連貴,,,"970",103.843342699999994,1.286936197000000
"3812",C. HASSAN B. MOHAMED,哈申,Havelock Road,"123",Sundries Retailers,NA,NA,"1939",NA,C. Hassan B. Mohd,,,,"283",103.843342699999994,1.286936197000000
"10417",SENG LEONG HUP KEE,成隆合記,Havelock Road,"125",Wine and Provisions Retailers,NA,NA,NA,NA,Ti Boon Chay,鄭文齊,,,"812",103.843342699999994,1.286936197000000
