NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"11519",CHOP SOON LEE,順利號,Boat Quay,"138",Eating House,NA,NA,"1948",NA,Tan Tow Kim,陳道金,,,"900",103.851250600000000,1.285635917000000
"14015",YAK THONG & CO.,益通公司,Boat Quay,"139",Wholesale Fish Merchants,NA,NA,"1947",NA,Goh Ah Hai,吳亞海,,,"1109",103.851250600000000,1.285635917000000
"4735",HUNG HIN & CO.,漢興公司,Boat Quay (2nd Floor),"139",Druggist,NA,NA,"1947",NA,Chew Hung Jin,周漢人,,,"348",103.851250600000000,1.285635917000000
"11907",SWEE CHOON & CO.,瑞春公司,Boat Quay,"140",Gunny Bags Dealers,"2871",NA,"1947",NA,Ng Ee Cher,黃怡資,,,"932",103.851250600000000,1.285635917000000
"1895",CHOP CHIN SENG,振昇號,Boat Quay,"141","Importers, Exporters and General Merchants",NA,NA,"1947",NA,Tay Tuan Seng,鄭端昇,,,"137",103.851250600000000,1.285635917000000
"13228",CHOP TUAN HENG,端興號,Boat Quay,"141",Commission Agents and Importers and Exporters,NA,NA,"1948",NA,Ng Kim Mui,黃金美,,,"1038",103.851250600000000,1.285635917000000
"13809",WING GUAN LEE,永源利,Boat Quay,"141",Importers and Exporters of Copra,NA,NA,"1947",NA,Lee Khim Sim,李琴森,,,"1092",103.851250600000000,1.285635917000000
"1967",CHING HONG & CO.,進豐公司,Boat Quay,"142",Importers and Exporters,NA,NA,"1946",NA,Wee Hean Poh,黃顯保,,,"142",103.851250600000000,1.285635917000000
"3528",GUAN HONG LOONG & CO.,源豐隆,Boat Quay,"142",Salts Merchants,"4053",NA,"1948",NA,Chong Nam Seng,鐘南生,,,"254",103.851250600000000,1.285635917000000
"9494",PECK HONG,百豐號,Boat Quay,"142",Commission Agents,NA,NA,"1945",NA,Cheong Thim Kui,張添貴,,,"729",103.851250600000000,1.285635917000000
"10328",SENG HOE HONG,成和豐,Boat Quay,"142",Firewood Merchants,NA,NA,"1947",NA,Ang Thiam Swee,洪添水,,,"806",103.851250600000000,1.285635917000000
"13047",TONG FATT & CO.,同發公司,Boat Quay,"143",Salt and Local Products Merchants,"3234",NA,"1945",NA,Khoo Chee Liang,丘志良,,,"1024",103.851250600000000,1.285635917000000
"1311",CHAN SWEE HUAT,曾瑞發,Boat Quay,"146",Charcoal and Firewood Merchants,"7944",NA,"1933",NA,Chan Cher Song,曾芝松,,,"98",103.851250600000000,1.285635917000000
"8520",MUI THONG HUNG,美通行,Boat Quay,"146","Importers, Exporters, Shipping and Commission Agents","7944",NA,"1947",NA,Siew Wei Hak,蕭偉合,,,"648",103.851250600000000,1.285635917000000
"14473",YUN NAN YUEN,榕南園,Boat Quay,"149",Eating House,NA,NA,"1938",NA,Ewe Teck Seong,余德松,,,"1143",103.851250600000000,1.285635917000000
"1150",BUAN LEE SENG LIMITED,萬利成有限公司,Boat Quay,"154","Pepper, Copra, Sago-flour & General Produce and Spice Dealers, Importer and Exporters","2617, 2468 & 7360",“PEPPERGAMB.”,NA,"$2,000,000",Governing Director and Chairman: Tan Siak Kew,陳鍚九,,,"87",103.851250600000000,1.285635917000000
"6998",LEE THONG,利通號,Boat Quay,"154",General Merchants and Commission Agents,NA,NA,"1947",NA,Buan Lee Seng Ltd.,萬利成有限公司,,,"528",103.851250600000000,1.285635917000000
"2425",CHYE SOON HUAT,再顺發,Boat Quay (1st Floor),"156",Firewood and Charcoal Merchants,NA,NA,"1933",NA,Kee Teck San,紀竹山,,,"169",103.851250600000000,1.285635917000000
"7957",MAY STAR CO.,上海美星公司,Boat Quay,"163",Carpenters,"4751",NA,"1938",NA,Thai Nan Won,蔡仍汶,,,"605",103.851250600000000,1.285635917000000
